i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100
61,6242,6842,6972,8642,1.80,1.29,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
62,6568,7168,7439,8968,1.80,1.54,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
63,6640,7240,7635,9040,1.07,1.46,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
64,6908,7508,7824,9308,1.82,1.27,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
65,7032,7632,8162,9432,1.55,1.80,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
66,7035,7635,8124,9435,1.49,1.50,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
67,7125,7725,8080,9525,1.37,1.51,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
68,7174,7774,8149,9574,1.65,1.26,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
69,7471,8071,8291,9871,1.80,1.85,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
70,7552,8152,8349,9952,1.73,1.02,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
71,7644,8244,8715,10044,1.96,1.53,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
72,7750,8350,8455,10150,1.74,1.53,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
73,8023,8623,8903,10423,1.77,1.61,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
74,8401,9001,9293,10801,1.54,1.29,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
75,8765,9365,9508,11165,1.48,1.65,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
76,8969,9569,9988,11369,1.62,1.82,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
77,9030,9630,9796,11430,1.73,1.53,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
78,9220,9820,10300,11620,1.76,1.99,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
79,9222,9822,10108,11622,1.76,1.83,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
80,9519,10119,10666,11919,1.61,1.75,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
81,9552,10152,10704,11952,1.72,1.84,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
82,9788,10388,10779,12188,1.97,1.26,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
83,9797,10397,10944,12197,1.21,1.96,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
84,9811,10411,10943,12211,1.05,1.19,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
85,9844,10444,10515,12244,1.06,1.87,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
86,10141,10741,11112,12541,1.74,1.88,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
87,10216,10816,11288,12616,1.39,1.63,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
88,10258,10858,11071,12658,1.14,1.10,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
89,10330,10930,11353,12730,1.49,1.76,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
90,10443,11043,11335,12843,1.91,1.85,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
91,10623,11223,11428,13023,1.00,1.50,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
92,10679,11279,11713,13079,1.84,1.84,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
93,10970,11570,11959,13370,1.53,1.95,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
94,11089,11689,12035,13489,1.02,1.78,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
95,11137,11737,12031,13537,1.73,1.06,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
96,11342,11942,12393,13742,1.44,1.68,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
97,11524,12124,12655,13924,1.79,1.03,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
98,11536,12136,12387,13936,1.99,1.26,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
99,11638,12238,12550,14038,1.03,1.84,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
100,11723,12323,12691,14123,1.71,1.52,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
