i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250
59,6589,7189,7444,8989,1.57,1.15,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
60,6784,7384,7798,9184,1.88,1.40,90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90
61,6925,7525,8080,9325,1.11,1.78,90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90
62,7022,7622,8102,9422,1.75,1.71,90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90
63,7169,7769,8201,9569,1.44,1.68,90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90
64,7462,8062,8588,9862,1.20,1.34,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
65,7508,8108,8303,9908,1.04,1.25,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
66,7550,8150,8526,9950,1.50,1.85,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
67,7658,8258,8726,10058,1.63,1.80,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
68,7672,8272,8424,10072,1.37,1.56,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
69,7702,8302,8817,10102,1.49,1.25,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
70,7922,8522,8673,10322,1.54,1.69,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
71,8025,8625,8990,10425,1.38,1.75,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
72,8089,8689,9158,10489,1.16,1.32,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
73,8354,8954,9080,10754,1.29,1.25,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
74,8434,9034,9493,10834,1.50,1.66,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
75,8522,9122,9483,10922,1.40,1.38,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
76,8546,9146,9725,10946,1.13,1.71,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
77,8670,9270,9363,11070,1.24,2.00,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
78,8726,9326,9641,11126,1.11,1.80,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
79,8798,9398,9600,11198,1.53,1.00,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
80,9377,9977,10047,11777,1.08,1.09,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
81,9457,10057,10353,11857,2.00,1.67,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
82,9538,10138,10732,11938,1.71,1.49,135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135
83,9666,10266,10447,12066,1.59,1.83,90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90
